Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UC-12,Chrome 65.0.3325.181,,2561-03-28 01:34:44,2561-03-28 01:36:56,2m - 11.986s,FAILED
,,,,,,
Test Cases/UC12/UC12-AlternativeFlow-Notmeet-minimum_length,Chrome 65.0.3325.181,,2561-03-28 01:34:45,2561-03-28 01:35:34,49.160s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 01:34:45,2561-03-28 01:34:59,13.742s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 01:34:59,2561-03-28 01:35:03,3.582s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-28 01:35:03,2561-03-28 01:35:34,31.026s,FAILED
,,,,,,
Test Cases/UC12/UC12-AlternativeFlow_NonInputDOB,Chrome 65.0.3325.181,,2561-03-28 01:35:34,2561-03-28 01:36:14,40.242s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 01:35:35,2561-03-28 01:35:41,6.153s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 01:35:41,2561-03-28 01:35:43,2.432s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-28 01:35:43,2561-03-28 01:36:14,30.944s,FAILED
,,,,,,
Test Cases/UC12/UC12-NormalFlow,Chrome 65.0.3325.181,,2561-03-28 01:36:14,2561-03-28 01:36:54,40.375s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 01:36:14,2561-03-28 01:36:20,5.660s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 01:36:20,2561-03-28 01:36:23,3.510s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-28 01:36:23,2561-03-28 01:36:54,31.032s,FAILED
